0x413F81;0xE5A0;C_UI_BATTERY_LEV7_ICN
0x413F8E;0xE5A1;C_UI_BATTERY_LEV8_ICN
0x413F8F;0xE5A2;C_UI_BATTERY_LEV9_ICN
0xA03A3D;0xE5A3;C_UI_EDGE_ATT_LEV0_ICN
0xA03A3C;0xE5A4;C_UI_EDGE_ATT_LEV1_ICN
0xA03A3F;0xE5A5;C_UI_EDGE_ATT_LEV2_ICN
0xA03A3E;0xE5A6;C_UI_EDGE_ATT_LEV3_ICN
0xA03A39;0xE5A7;C_UI_EDGE_ATT_LEV4_ICN
0xA03A38;0xE5A8;C_UI_EDGE_ATT_LEV5_ICN
0x7407EE;0xE5A9;C_UI_EDGE_AVAIL_LEV0_ICN
0x7407EF;0xE5AA;C_UI_EDGE_AVAIL_LEV1_ICN
0x7407EC;0xE5AB;C_UI_EDGE_AVAIL_LEV2_ICN
0x7407ED;0xE5AC;C_UI_EDGE_AVAIL_LEV3_ICN
0x7407EA;0xE5AD;C_UI_EDGE_AVAIL_LEV4_ICN
0x7407EB;0xE5AE;C_UI_EDGE_AVAIL_LEV5_ICN
0xF08EA3;0xE5AF;C_UI_GPRS_ATT_LEV0_ICN
0xF08EA2;0xE5B0;C_UI_GPRS_ATT_LEV1_ICN
0xF08EA1;0xE5B1;C_UI_GPRS_ATT_LEV2_ICN
0xF08EA0;0xE5B2;C_UI_GPRS_ATT_LEV3_ICN
0xF08EA7;0xE5B3;C_UI_GPRS_ATT_LEV4_ICN
0xF08EA6;0xE5B4;C_UI_GPRS_ATT_LEV5_ICN
0xB64E48;0xE5B5;C_UI_GPRS_DET_LEV10_ICN
0xB64E49;0xE5B6;C_UI_GPRS_DET_LEV11_ICN
0xEDBEA5;0xE5B7;C_UI_GPRS_DET_LEV6_ICN
0xEDBEA4;0xE5B8;C_UI_GPRS_DET_LEV7_ICN
0xEDBEAB;0xE5B9;C_UI_GPRS_DET_LEV8_ICN
0xEDBEAA;0xE5BA;C_UI_GPRS_DET_LEV9_ICN
0xCD2A4C;0xE5BB;C_UI_RSSI_LEV0_ICN
0xCD2A4D;0xE5BC;C_UI_RSSI_LEV1_ICN
0xCD2A4E;0xE5BD;C_UI_RSSI_LEV2_ICN
0xCD2A4F;0xE5BE;C_UI_RSSI_LEV3_ICN
0xCD2A48;0xE5BF;C_UI_RSSI_LEV4_ICN
0xCD2A49;0xE5C0;C_UI_RSSI_LEV5_ICN
0xBAD12D;0xE5C1;C_UI_WEEKVIEW_ARROW_DOWN_ICN
0x33F569;0xE5C2;C_UI_WEEKVIEW_ARROW_UP_ICN
0x86A670;0xE5C3;CAL_SMALL_AM_ICN
0x86A2B0;0xE5C4;CAL_SMALL_PM_ICN
0x2DC2BE;0xE5C5;CALC_CALCULATOR_MENU_ICN
0xC0A5DA;0xE5C6;CALC_MENUBAR_BACKGROUND_ICN
0xD52799;0xE5C7;CALC_MENUBAR_HIGHLIGHT_ICN
0xC4478E;0xE5C8;CALC_MENUBAR_OPERATORS_ICN
0xC1C40B;0xE5C9;CALE_APPOINTMENT_POPUP_ICN
0xC6F293;0xE5CA;CALE_BIRTHDAY_RECURRENCE_ICN
0xD59487;0xE5CB;CALE_CALENDAR_2ND_ROW_ICN
0x80D9BC;0xE5CC;CALE_CALENDAR_MENU_ICN
0xAE5411;0xE5CD;CALE_EDIT_APPOINT_2ND_TAB_HIGHLIGHT_ICN
0x70D0E0;0xE5CE;CALE_EDIT_APPOINT_2ND_TAB_ICN
0xE2A798;0xE5CF;CALE_EDIT_APPOINT_GENERAL_TAB_HIGHLIGHT_ICN
0x48442F;0xE5D0;CALE_EDIT_APPOINT_GENERAL_TAB_ICN
0xBC0CE8;0xE5D1;CALE_INCOMING_CALENDAR_ICN
0x679457;0xE5D2;CALE_LUNAR_12ANIMALS_10TH_ROOSTER_ICN
0x1737C4;0xE5D3;CALE_LUNAR_12ANIMALS_11TH_DOG_ICN
0x164544;0xE5D4;CALE_LUNAR_12ANIMALS_12TH_PIG_ICN
0x34798A;0xE5D5;CALE_LUNAR_12ANIMALS_1ST_MOUSE_ICN
0xFE448C;0xE5D6;CALE_LUNAR_12ANIMALS_2ND_OX_ICN
0x019D16;0xE5D7;CALE_LUNAR_12ANIMALS_3RD_TIGER_ICN
0xA2F170;0xE5D8;CALE_LUNAR_12ANIMALS_4TH_RABBIT_ICN
0xA7462B;0xE5D9;CALE_LUNAR_12ANIMALS_5TH_DRAGON_ICN
0x0DFB87;0xE5DA;CALE_LUNAR_12ANIMALS_6TH_SNAKE_ICN
0x30E98B;0xE5DB;CALE_LUNAR_12ANIMALS_7TH_HORSE_ICN
0x15BD1E;0xE5DC;CALE_LUNAR_12ANIMALS_8TH_SHEEP_ICN
0xD3065D;0xE5DD;CALE_LUNAR_12ANIMALS_9TH_MONKEY_ICN
0x98E00A;0xE5DE;CALE_PRI_HIGH_ICN
0xA146AB;0xE5DF;CALE_PRI_LOW_ICN
0x8C8094;0xE5E0;CALE_PRI_NORMAL_ICN
0xA33299;0xE5E1;CALE_RECURRENCE_ICN
0x91EB40;0xE5E2;CALE_RECURRENT_ICN
0x8846B6;0xE5E3;CALE_REMINDER_ICN
0xD4FC1E;0xE5E4;CALE_RN_APPOINTMENT_STATUS_ICN
0x41E548;0xE5E5;CALE_RN_TASK_STATUS_ICN
0x825A1C;0xE5E6;CALE_TASK_COMPLETED_ICN
0xB4B8C5;0xE5E7;CALE_TASK_MISC_2ND_ROW_ICN
0xB52B28;0xE5E8;CALE_TASK_MISC_ICN
0x734FD7;0xE5E9;CALE_TASK_MISC_POPUP_ICN
0xAE5CA7;0xE5EA;CALE_TASK_PHONECALL_2ND_ROW_ICN
0xAFCF4A;0xE5EB;CALE_TASK_PHONECALL_ICN
0x356E79;0xE5EC;CALE_TASK_PHONECALL_POPUP_ICN
0xC6C420;0xE5ED;CALE_TODOS_MENU_ICN
0x8B3B3E;0xE5EE;CALE_XD_NEXT_MEETING_ICN
0x256E69;0xE5EF;CALL_BT_HF_CONNECTED_ICN
0xB90199;0xE5F0;CALLS_ALL_TAB_ICN
0xA5D5FB;0xE5F1;CALLS_ALL_TAB_INACTIVE_ICN
0xD421F1;0xE5F2;CALLS_INCOMING_ICN
0x45F37A;0xE5F3;CALLS_INCOMING_TAB_ICN
0x996D04;0xE5F4;CALLS_INCOMING_TAB_INACTIVE_ICN
0xF79DC0;0xE5F5;CALLS_INCOMING_VIDEO_ICN
0xA2005D;0xE5F6;CALLS_MISSED_ICN
0xA8E9EE;0xE5F7;CALLS_MISSED_SLEEPMODE_ICN
0x927F1B;0xE5F8;CALLS_MISSED_STATUS_ICN
0x33D2D6;0xE5F9;CALLS_MISSED_TAB_ICN
0x110619;0xE5FA;CALLS_MISSED_TAB_INACTIVE_ICN
0xED5AA2;0xE5FB;CALLS_MISSED_VIDEO_ICN
0xC4B5B9;0xE5FC;CALLS_OUTGOING_ICN
0x556732;0xE5FD;CALLS_OUTGOING_TAB_ICN
0xBC7F00;0xE5FE;CALLS_OUTGOING_TAB_INACTIVE_ICN
0xB31CC9;0xE5FF;CALLS_OUTGOING_VIDEO_ICN
0x8DC27A;0xE600;CALLS_SCREENED_ICN
0x06D506;0xE601;CAM_BUTTON_DISABLE_ICN
0xB76B91;0xE602;CAM_BUTTON_ENABLE_ICN
0x5784CF;0xE603;CAM_BUTTON_FOCUSON_ICN
0x81FFEB;0xE604;CAM_BUTTON_PRESS_ICN
0x991CAE;0xE605;CAM_CTRL_LEFT_ICN
0xEF3E46;0xE606;CAM_CTRL_RIGHT_ICN
0x66F671;0xE607;CAM_MENU_GUIDE_LEFT_ICN
0x1589B9;0xE608;CAM_MENU_GUIDE_RIGHT_ICN
0x5DBFBE;0xE609;CAM_MENU_WINDOW_1L_ICN
0x038777;0xE60A;CB_UI_RECEIVING_JAVA_MESSAGE_POPUP_ICN
0xF086BA;0xE60B;CHECKBOX_ICN
0x97588C;0xE60C;CHECKBOX_UNAIV_ICN
0x0D4290;0xE60D;CHECKED_RADIOBUTTON_ICN
0x8D66DB;0xE60E;CHECKMARK_ICN
0x33A0B6;0xE60F;CHECKMARK_IN_BOX_ICN
0xF797F3;0xE610;CHECKMARK_IN_BOX_UNAVI_ICN
0x24114A;0xE611;CIPHERING_OFF_ICN
0xFB8C01;0xE612;CODEWALLET_CODE_MEMO_MENU_ICN
0xFCE612;0xE613;CURSOR_ICN
0x59359E;0xE614;DAMAGED_MESSAGE_ICN
0x834318;0xE615;DB_2ROW_MS_ICN
0x98EF56;0xE616;DB_2ROW_PHONE_ICN
0x3D08BC;0xE617;DB_BOOKMARKS_DIRECTORY_ICN
0x9694A5;0xE618;DB_BOOKMARKS_MM_ICN
0xCD665C;0xE619;DB_CAMERA_CONTENT_DIRECTORY_ICN
0x8D2C99;0xE61A;DB_CAMERA_CONTENT_MM_ICN
0xF1C81E;0xE61B;DB_CAMERA_DIRECTORY_ICN
0x5025D9;0xE61C;DB_DESKTOP_ICN
0x91A640;0xE61D;DB_DESKTOP_SELECTED_ICN
